n_language,m_contract_name,n_company,m_pdf_url,m_link_template,Metadata?,n_signature_date,n_resources,m_country,n_country,n_company_jurisdictions,n_corporate_group,n_company_identifier,n_opencorporates_id,n_project_title,n_type_of_contract,n_license_concession_name,n_government_entities,contract_category
EN,"GAC, Annex 7 - Guinée, 2010",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,OpenLandContracts
EN,"Transglobe, Yemen Co, - Yemen, 1997",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
EN,"AMC, Convention 2010 Avenant No 1 - Guinée",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
EN,"Blue Chip, Bloc25- Mauritania, 2007",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
,,Heng Yue (Cambodia) International Company Ltd,https://www.dropbox.com/s/p080hysuhx6s06k/Heng%20Yue%20Contract.pdf?dl=0,https://www.dropbox.com/s/glywd3e8o0s5crn/Heng%20Yue_Cambodia.xlsx,Limited,,,,,,,,,,,,,
,,"Global Agricultural Development (Cambodia) Co., Ltd",https://www.dropbox.com/s/aizric6f0abiiac/Global_Agricultural_Development_Cambodia_Co.Ltd_Cambodia%20%28English%20version%29.pdf,https://www.dropbox.com/s/tb2b2hh5mk346im/Global%20Agricultural%20Development%20%28Cambodia%29%20Co%20Ltd_Cambodia.xlsm,Y,,,,,,,,,,,,,
,,Karuturi Agro Products PLC,https://www.dropbox.com/s/s2bjiv929wllp9a/Karuturi%20%28Indian%20invest%20-%20palm%20etc%202010%29.pdf,https://www.dropbox.com/s/c95w7mo7vogvv77/Karuturi%20Agro%20Products_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,BHO Bio Products PLC,https://www.dropbox.com/s/i7xeidh0tv9hzsd/BHO%20%28Indian%20invest%20-%20cereal%20crops%20etc%202010%29%20.pdf,https://www.dropbox.com/s/5rzpilqfiu87b6n/BHO_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Ruchi Agri PLC,https://www.dropbox.com/s/q3zfbcm6nlxizyh/Ruchi-Agreement.pdf,https://www.dropbox.com/s/9i5auttani0nd6y/Ruchi%20Agri_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Sannati Agro Farm Enterprises Pvt. Ltd (Ethiopia Branch),https://www.dropbox.com/s/t358g7kgionm4if/Sannati%20%28Indian%20invest%20-%20rice%20etc%202010%29.pdf,https://www.dropbox.com/s/m8vdmxy1hitfigl/Sannati%20Agro%20Farm%20Enterprises_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Saudi Star Agricultural Development PLC,https://www.dropbox.com/s/79fufkf9rkf6mhi/Saudi%20Star%20Agreement.pdf,https://www.dropbox.com/s/s46ii4mg7iou4nk/Saudi%20Star_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Horizon Plantation Ethiopia PLC,https://www.dropbox.com/s/93hclbqsq3duyyp/Horizon%20Plantations%20PLC_Ethiopia.pdf,https://www.dropbox.com/s/letj2wu4cf23wrb/Horizon%20Plantations%20PLC_Ethiopia.xlsm,Yes,,,,,,,,,,,,,
,,Toren Agro Industries PLC,https://www.dropbox.com/s/tun7knx4pbgiv5g/Toren%20%28Turkish%20-%20cotton%20soy%202011%29.pdf,https://www.dropbox.com/s/8l471s93mlh6yhe/Toren%20Agro%20Industries_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
