m_language,n_language,m_contract_name,m_created_datetime,n_created_datetime,m_last_updated_datetime,n_last_updated_datetime,m_pdf_url,m_signature_date,a_signature_date,n_signature_date,m_signature_year,a_signature_year,n_signature_year,m_resources,a_resources,n_resources,m_country,n_country,m_documentcloud_url,a_company,n_company,n_company_jurisdictions,n_corporate_group,n_company_identifier,n_opencorporates_id,a_project_title,n_project_title,a_type_of_contract,n_type_of_contract,a_license_concession_name,n_license_concession_name,a_government_entities,n_government_entities,contract_category
eng,EN,3PL Helalin Annulation Permis,"Mon, 21 Jan 2013 02:06:42 +0000",1/21/2013 2:06:42,"Thu, 30 Apr 2015 14:14:47 +0000",4/30/2015 14:14:47,https://s3.amazonaws.com/s3.documentcloud.org/documents/560260/3pl-helalin-annulation-permis.pdf,2/12/2005,,12/2/2005,2005,,2005,"Bauxite,Alumine",,"Bauxite, 
Aluminium",Guinea,"code: GN,
name: Guinea",http://www.documentcloud.org/documents/560260-3pl-helalin-annulation-permis.html,,,,,,,,,,Permis de recherche,,,,,ResourceContracts
eng,EN,"4M Energy S.A., Mauritania, 2006","Wed, 16 Jul 2014 18:01:38 +0000",7/16/2014 18:01:38,"Wed, 15 Apr 2015 19:12:48 +0000",4/15/2015 19:12:48,https://s3.amazonaws.com/s3.documentcloud.org/documents/1219793/cpp4menergy-blocs24-amp-31-8-2006.pdf,31/08/2006,,8/31/2006,2006,,2006,Hydrocarbons,,Hydrocarbons,Mauritania,"code: MR,
name: Mauritania",http://www.documentcloud.org/documents/1219793-cpp4menergy-blocs24-amp-31-8-2006.html,,,,,,,,,,Production Sharing Contract,,,,,ResourceContracts
eng,EN,"ADDAX, ABACAN, Block 4 - Benin, 1997","Tue, 20 Jan 2015 18:41:50 +0000",1/20/2015 18:41:50,"Mon, 16 Mar 2015 14:11:58 +0000",3/16/2015 14:11:58,https://s3.amazonaws.com/s3.documentcloud.org/documents/1506127/addax-abacan-block-4-benin-1997.pdf,,,,1997,,1997,Hydrocarbons,,Hydrocarbons,Benin,"code: BJ,
name: Benin",http://www.documentcloud.org/documents/1506127-addax-abacan-block-4-benin-1997.html,,,,,,,,,,Profit Sharing Contract,,,,,ResourceContracts
eng,EN,"Blue Chip, Bloc25- Mauritania, 2007","Wed, 16 Oct 2013 15:21:44 +0000",10/16/2013 15:21:44,"Sun, 15 Mar 2015 02:08:41 +0000",3/15/2015 2:08:41,https://s3.amazonaws.com/s3.documentcloud.org/documents/805414/psc-blue-chop-energy-bloc-25.pdf,,12 Février 2007--Page de signature,2/12/2007,2007,2007--Page de signature,2007,Hydrocarbons,,Hydrocarbons,Mauritania,"code: MR,
name: Mauritania",http://www.documentcloud.org/documents/805414-psc-blue-chop-energy-bloc-25.html,"Blue Chip energy S.A.--Preambule
, 
Blue Chip energy S.A.",Blue Chip energy S.A.,,,,,Bloc 25 du bassin côtier (CPP 25 Bassin côtier),Bloc 25,Contrat de partage de production d'hydrocarbures,Production Sharing Contract,Bloc 25 --Annexe 1,Bloc 25,Ministre chargé de l'énergie et du Pétrole,Ministre chargé de l'énergie et du Pétrole,ResourceContracts
eng,EN,"Kosmos, Canamens - Morocco, 2013 (Essaouira)","Sun, 05 Apr 2015 15:45:47 +0000",4/5/2015 15:45:47,"Sun, 05 Apr 2015 19:19:27 +0000",4/5/2015 19:19:27,https://s3.amazonaws.com/s3.documentcloud.org/documents/1710317/kosmos-canamens-morocco-2013-essaouira.pdf,,9/9/2011--art. 25,9/9/2011,2013,2011--art. 25,2013,Hydrocarbons,,Hydrocarbons,Morocco,"code: MA,
name: Morocco",http://www.documentcloud.org/documents/1710317-kosmos-canamens-morocco-2013-essaouira.html,"Kosmos Energy Deepwater Morocco and Canamens Energy Morocco SARL --Front page, Signature Page, 
Kosmos Energy Deepwater Morocco (""Kosmos""), a company incorporated in the Cayman Islands; and Canamens Energy Morocco SARL (""Canamens""), a company incorporated under the laws of the Kingdom of Morocco (collectively ""the Contractor Group"")--Front page","Kosmos Energy Deepwater Morocco and Canamens Energy Morocco SARL, 
Kosmos Energy Deepwater Morocco",,,,,,,Exploration Permits and Exploitation Concession--Art. 1,Exploration Permit/License,"Essaouira Offshore I, Essaouira Offshore II, Essaouira Offshore III, Essaouira Offshore IV, Essaouira Offshore V, Essaouira Offshore VII, Essaouira Offshore VII (collectively ""Essaouira Offshore"")--Front page, Article 3.1 (a), Appendix 2","Essaouira Offshore I, Essaouira Offshore II, Essaouira Offshore III, Essaouira Offshore IV, Essaouira Offshore V, Essaouira Offshore VII, Essaouira Offshore VII (collectively ""Essaouira Offshore"")","The Office National des Hydrocarbures et des mines (""ONHYM"") acting on behalf of the Kingdom of Morocco--Front page","Office National des Hydrocarbures et des mines (""ONHYM"")",ResourceContracts
eng,EN,"ADDAX, ABACAN, Deep Offshore Block 4 - Benin, 1997","Tue, 20 Jan 2015 18:28:54 +0000",1/20/2015 18:28:54,"Tue, 20 Jan 2015 18:43:53 +0000",1/20/2015 18:43:53,https://s3.amazonaws.com/s3.documentcloud.org/documents/1506119/addax-abacan-benin-1997.pdf,,,,1997,,1997,Hydrocarbons,,Hydrocarbons,Benin,"code: BJ,
name: Benin",http://www.documentcloud.org/documents/1506119-addax-abacan-benin-1997.html,,,,,,,,,,Profit Sharing Contract,,,,,ResourceContracts
eng,EN,"DNO - Yemen, 2004","Wed, 14 Jan 2015 21:02:38 +0000",1/14/2015 21:02:38,"Wed, 14 Jan 2015 23:18:12 +0000",1/14/2015 23:18:12,https://s3.amazonaws.com/s3.documentcloud.org/documents/1502389/dno-yemen-2004.pdf,,19/12/2004--Art. 34,12/19/2004,2004,2004--Art. 34,2004,Hydrocarbons,,Hydrocarbons,Yemen,"code: YE,
name: Yemen",http://www.documentcloud.org/documents/1502389-dno-yemen-2004.html,"The Yemen Company--Title, 
DNO ASA ('DNO') - 921526121 (opencorporates.com); Ansan Wikfs (Haudramaut) Ltd ('Ansan'); TG Holdings Yemen Inc. ('TG'); The Yemen Company ('TYC')--Art. 34",,,,,,,,Production sharing agreement--Title,Profit Sharing Contract,"Block (72), Al-Ain Area, Hydramaut Governorate--Title","Block (72), Al-Ain Area, Hydramaut Governorate",Ministry of Oil and Minerals--Title,Ministry of Oil and Minerals,ResourceContracts
eng,EN,"Amerada Hess Ghana - Ghana, 2006","Mon, 24 Sep 2012 14:40:53 +0000",9/24/2012 14:40:53,"Wed, 29 Apr 2015 10:12:09 +0000",4/29/2015 10:12:09,https://s3.amazonaws.com/s3.documentcloud.org/documents/439269/deepwater-tano-cape-three-points-contract-area.pdf,,,2/8/2006,,,2006,Hydrocarbons,,Hydrocarbons,Ghana,"code: GH,
name: Ghana",http://www.documentcloud.org/documents/439269-deepwater-tano-cape-three-points-contract-area.html,,Amerada Hess Ghana,,Hess Corporation,,,,,Concession--Preamble,Concession--Preamble,,,,,ResourceContracts
eng,EN,"CNPC BlocTa21 - Mauritania, 2004","Mon, 28 Oct 2013 16:21:42 +0000",10/28/2013 16:21:42,"Thu, 21 Nov 2013 19:47:39 +0000",11/21/2013 19:47:39,https://s3.amazonaws.com/s3.documentcloud.org/documents/810790/psc-cnpc-bloc-ta21.pdf,,,,2004,2004,2004,Hydrocarbons,,Hydrocarbons,Mauritania,"code: MR,
name: Mauritania",http://www.documentcloud.org/documents/810790-psc-cnpc-bloc-ta21.html,,CNPC International Limited,,CNPC,,,,,Production Sharing,Production Sharing Contract,,,,,ResourceContracts
eng,EN,"AMC, Convention - Guinée","Sun, 07 Dec 2014 00:48:49 +0000",12/7/2014 0:48:49,"Wed, 29 Apr 2015 14:11:41 +0000",4/29/2015 14:11:41,https://s3.amazonaws.com/s3.documentcloud.org/documents/1376047/amc-convention-2014.pdf,,,,2014,,2014,,,,Guinea,"code: GN,
name: Guinea",http://www.documentcloud.org/documents/1376047-amc-convention-2014.html,,,,,,,,,,-,,,,,ResourceContracts
