TEMPLATE OIL/GAS/MINING/LAND -  RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,Contract to Manage Timber Sale Area,,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Liberia,Cover page,1 (top),,Pays//Country,Liberia--Cover page
Nom de la société locale,Local company name,B & V Timber Company,Cover page,1 (bottom),,Nom de la société locale//Local company name,B & V Timber Company--Cover page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"Vincent Compound, Brewerville, Montserrado County, Liberia",Cover page,1 (bottom),,Siège social //Corporate headquarters ,"Vincent Compound, Brewerville, Montserrado County, Liberia--Cover page"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Timber Sale Contract,"Cover page, Art. B2.1","2 (top), 12 (top)",,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)","Timber Sale Contract--Cover page, Art. B2.1"
Nom du projet,Project title,Area A-6,Cover page,1 (middle),,Nom du projet//Project title,Area A-6--Cover page
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude / Onshore vs Offshore (shallow vs. deep) ",Gbarpolu and Bong Counties. The contract area lies within Latitudes 7°6'0'' - 7°9'36'' North of the equator and Longitudes 10°12'36'' - 10°18'36'' West of the Greenwich meridian,Art. A1,6 (top),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude / Onshore vs Offshore (shallow vs. deep) ",Gbarpolu and Bong Counties. The contract area lies within Latitudes 7°6'0'' - 7°9'36'' North of the equator and Longitudes 10°12'36'' - 10°18'36'' West of the Greenwich meridian--Art. A1
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
Date d'octroi du permis d'exploitation ou concession,Date of issue of title/permit,,,,,Date d'octroi du permis d'exploitation ou concession//Date of issue of title/permit,
Année d'octroi du permis d'exploitation ou concession,Year of issue of title/permit,,,,,Année d'octroi du permis d'exploitation ou concession//Year of issue of title/permit,
Date de ratification,Date of ratification,,,,,Date de ratification//Date of ratification,
Investissement estimé,Estimated investment,,,,,Investissement estimé//Estimated investment,
Production attendue,Expected production,,,,,Production attendue//Expected production,
II. Résumé des dispositions du contrat,II. Summary of terms,,,,,II. Résumé des dispositions du contrat//II. Summary of terms,
1. Dispositions du base,1. Fundamental provisions,,,,,1. Dispositions du base//1. Fundamental provisions,
Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document,Name of company executing the document and composition of the shareholders,B & V Timber Company,Cover page,1 (bottom),,Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document//Name of company executing the document and composition of the shareholders,B & V Timber Company--Cover page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
"Signataire(s), société ","Signatories, company","Emmanuel Q. Vincent, B & V Timber Company",Signature page,38 (middle),,"Signataire(s), société //Signatories, company","Emmanuel Q. Vincent, B & V Timber Company--Signature page"
"Agence de l'Etat, société nationale, ministère signataire du contrat","State agency, national company, ministry executing the document",Forestry Development Authority ,Cover page,1 (top),,"Agence de l'Etat, société nationale, ministère signataire du contrat//State agency, national company, ministry executing the document",Forestry Development Authority --Cover page
"Signataire(s), Etat","Signatories, State","John T. Woods, Forestry Development Authority, Tom Downing, GEMAP Comptroller/Forestry Development Authority",Signature page,38 (top),,"Signataire(s), Etat//Signatories, State","John T. Woods, Forestry Development Authority, Tom Downing, GEMAP Comptroller/Forestry Development Authority--Signature page"
Nom et/ou composition de la société du projet crée ou envisagée,Name and/or composition of the company created or anticipated,,,,,Nom et/ou composition de la société du projet crée ou envisagée//Name and/or composition of the company created or anticipated,
Nom de la partie tiers (si applicable),Name of third party to contract (where applicable),,,,,Nom de la partie tiers (si applicable)//Name of third party to contract (where applicable),
Date de signature du contrat,Date of contract signature,27/06/2008,Cover page,2 (top),,Date de signature du contrat//Date of contract signature,27/06/2008--Cover page
Année de signature du contrat,Year of contract signature,2008,Cover page,2 (top),,Année de signature du contrat//Year of contract signature,2008--Cover page
Durée,Term,3 years,Cover page 2,2 (top),,Durée//Term,3 years--Cover page 2
Conditions de renouvellement,Conditions for renewal ,The contract is not renewable,Art. B2.2,12 (bottom),,Conditions de renouvellement//Conditions for renewal ,The contract is not renewable--Art. B2.2
"Ressource(s) concernées (type de minéral, pétrole, gas, bois) ou les récoltes/denrées","Type of resources (mineral type, crude oil, gas, timber, etc.) OR specific crops planned (ex: food crops, oil palm, etc.)",Timber,Art. B2.1,12 (top),,"Ressource(s) concernées (type de minéral, pétrole, gas, bois) ou les récoltes/denrées//Type of resources (mineral type, crude oil, gas, timber, etc.) OR specific crops planned (ex: food crops, oil palm, etc.)",Timber--Art. B2.1
Superficie de la concession,Size of the concession area,"5,000 hectares",Art. A1,6 (top),,Superficie de la concession//Size of the concession area,"5,000 hectares--Art. A1"
"2. Obligations à l'égard des communautés, la protection sociale et l’économie locale/régionale",2. Community and social obligations,,,,,"2. Obligations à l'égard des communautés, la protection sociale et l’économie locale/régionale//2. Community and social obligations",
Convention de développement local,Local development agreement,"B & V Timber Company shall complete the Social Agreement(s) required under Forestry Development Authority Regulation 105-07, which, once attested to by the Forestry Development Authority, then becomes part of the contract and, if breached, is treated like a breach of the contract",Art. B3.1,13 (middle),,Convention de développement local//Local development agreement,"B & V Timber Company shall complete the Social Agreement(s) required under Forestry Development Authority Regulation 105-07, which, once attested to by the Forestry Development Authority, then becomes part of the contract and, if breached, is treated like a breach of the contract--Art. B3.1"
"Protection des lieux sacrés, des ressources et du milieu de vie","Protection of sacred locations, resources and environment","B & V Timber Company shall identify areas requiring special measures for the protection of cultural resources and describe these special protection measures in its annual operational plan. In addition, B & V Timber Company shall protect these areas from damage or removal during its operations. The Forestry Development Authority may delay or interrupt operations under the contract, or modify the contract,  to prevent harm to cultural resources.

","Arts. B6.34, B8.6(a)","26 (middle), 33 (bottom)",,"Protection des lieux sacrés, des ressources et du milieu de vie//Protection of sacred locations, resources and environment","B & V Timber Company shall identify areas requiring special measures for the protection of cultural resources and describe these special protection measures in its annual operational plan. In addition, B & V Timber Company shall protect these areas from damage or removal during its operations. The Forestry Development Authority may delay or interrupt operations under the contract, or modify the contract,  to prevent harm to cultural resources._x000D__x000D_--Arts. B6.34, B8.6(a)"
Consultations communautaires requises,Requirements for community consultation ,,,,,Consultations communautaires requises//Requirements for community consultation ,
