TEMPLATE OIL/GAS/MINING/LAND -  RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,"Liberia, Bargor & Bargor Enterprise, Contract to Manage Timber Sale Area, Timber, TSC A-7, 27 June 2008",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Liberia,Cover page,1 (top),,Pays//Country,Liberia--Cover page
Nom de la société locale,Local company name,"Bargor & Bargor Enterprise, Inc.",Cover page,1 (bottom),,Nom de la société locale//Local company name,"Bargor & Bargor Enterprise, Inc.--Cover page"
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"Benson & Randall Streets, Monrovia, Liberia","Cover page, cover page 2","1 (bottom), 2 (top)",,Siège social //Corporate headquarters ,"Benson & Randall Streets, Monrovia, Liberia--Cover page, cover page 2"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Timber sale contract,"Cover page, Art. B2.1","1 (middle), 11 (top)",,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)","Timber sale contract--Cover page, Art. B2.1"
Nom du projet,Project title,,,,,Nom du projet//Project title,
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit","Region/Sector: # 2, County: Gbarpolu , Forest Name: TSC A-7",Cover page 2,2 (top),,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit","Region/Sector: # 2, County: Gbarpolu , Forest Name: TSC A-7--Cover page 2"
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude / Onshore vs Offshore (shallow vs. deep) ",Gbarpolu County: Concession area lies within Latitudes 7°8'24'' - 7°12'36'' North of the equator and Longitudes 10°11'24'' - 10°18'36'' West of the Greenwich meridian,Art. A1,5 (top),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude / Onshore vs Offshore (shallow vs. deep) ",Gbarpolu County: Concession area lies within Latitudes 7°8'24'' - 7°12'36'' North of the equator and Longitudes 10°11'24'' - 10°18'36'' West of the Greenwich meridian--Art. A1
