Category,Terms
language,ENG
country,Liberia
countriy-iso3,LBR
resource,Timber (Wood)
Type of Mining Title,Timber sale contract
Signature Date,39626
Signature Year,2008
Contract Term (duration) in Years,3 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,"Bargor & Bargor Enterprise, Inc."
Legal Enterprise Identifier,
Corporate headquarters ,"Benson & Randall Streets, Monrovia, Liberia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit","Region/Sector: # 2, County: Gbarpolu , Forest Name: TSC A-7"
location,Gbarpolu County: Concession area lies within Latitudes 7°8'24'' - 7°12'36'' North of the equator and Longitudes 10°11'24'' - 10°18'36'' West of the Greenwich meridian
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,"Bargor & Bargor Enterprise, Inc."
Legal Enterprise Identifier,
"Signatories, company","Alfred D. Bargor, Bargor & Bargor Enterprise, Inc."
"State agency, national company, ministry executing the document",Forestry Development Authority 
"Signatories, State","John T. Woods, Forestry Development Authority , Tom Downing, Gemap Comptroller/FDA"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,The contract is not renewable
Size of the concession area,"5,000 ha"
Pages missing from  copy,
Annexes missing from copy,
