TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,"Liberia, Bassa Logging Timber Corporation, Timber Sale Contract, Timber, Forest Area TSC A-11, 21 July 2010",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details  - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Liberia,Cover page,1 (top),,Pays//Country,Liberia--Cover page
Nom de la société locale,Local company name,Bassa Logging Timber Corporation,"Cover page, cover page 2","1 (bottom), 2 (top) ",,Nom de la société locale//Local company name,"Bassa Logging Timber Corporation--Cover page, cover page 2"
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"Broad Street, Monrovia, Liberia",Cover page,"1 (bottom), 2 (top) ",,Siège social //Corporate headquarters ,"Broad Street, Monrovia, Liberia--Cover page"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Timber Sale Contract,"Cover page, cover page 2","1 (bottom), 2 (top) ",,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)","Timber Sale Contract--Cover page, cover page 2"
Nom du projet,Project title,Contract to Manage Timber Sale Area: A-11,"Cover page, cover page 2","1 (middle), 2 (top)",,Nom du projet//Project title,"Contract to Manage Timber Sale Area: A-11--Cover page, cover page 2"
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit","Region #1, Grand Cape Mount County, Prokpa and Gola Konneh Districts, Forest Area TSC Area ""11""","Cover page, cover page 2","1 (middle), 2 (top)",,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit","Region #1, Grand Cape Mount County, Prokpa and Gola Konneh Districts, Forest Area TSC Area ""11""--Cover page, cover page 2"
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Timber Sale Contract A-11 lies within Latitudes 7°9'36"" - 7°18'0"" North of the equator and Longitudes 10°54'36"" - 11°1'48"" West of the Greenwich meridian, located in Grand Cape Mount County-Liberia","Arts. A1, A2",7 (top),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Timber Sale Contract A-11 lies within Latitudes 7°9'36"" - 7°18'0"" North of the equator and Longitudes 10°54'36"" - 11°1'48"" West of the Greenwich meridian, located in Grand Cape Mount County-Liberia--Arts. A1, A2"
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
