Category,Terms
language,ENG
country,Liberia
countriy-iso3,LBR
resource,Timber (Wood)
Type of Mining Title,Timber Sale Contract
Signature Date,21/07/2010
Signature Year,2010
Contract Term (duration) in Years,3 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Bassa Logging Timber Corporation
Legal Enterprise Identifier,
Corporate headquarters ,"Broad Street, Monrovia, Liberia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,Contract to Manage Timber Sale Area: A-11
"Name and/or number of field, block or deposit","Region #1, Grand Cape Mount County, Prokpa and Gola Konneh Districts, Forest Area TSC Area ""11"""
location,"Timber Sale Contract A-11 lies within Latitudes 7°9'36"" - 7°18'0"" North of the equator and Longitudes 10°54'36"" - 11°1'48"" West of the Greenwich meridian, located in Grand Cape Mount County-Liberia"
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Bassa Logging Timber Corporation
Legal Enterprise Identifier,
"Signatories, company","President/CEO, Bassa Logging Timber Corporation"
"State agency, national company, ministry executing the document",Forestry Development Authority
"Signatories, State","Managing Director, Forestry Development Authority ; In-House Lawyer, Forestry Development Authority"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,
Size of the concession area,"5,000 hectares"
Pages missing from  copy,"13 (the existing 13 is a repeat of actual page 17), 14, 15 "
Annexes missing from copy,
