TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,"Liberia, Buchanan Renewables (Monrovia) Power Inc., Concession Agreement, 2009",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details  - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Liberia,Cover page,1 (top),,Pays//Country,Liberia--Cover page
Nom de la société locale,Local company name,Buchanan Renewables (Monrovia) Power Inc.,Cover page,1 (middle),,Nom de la société locale//Local company name,Buchanan Renewables (Monrovia) Power Inc.--Cover page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,,,,,Siège social //Corporate headquarters ,
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Concession,Cover page,1 (top),,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Concession--Cover page
Nom du projet,Project title,"A power generation complex near Monrovia, Liberia",Cover page,1 (middle),,Nom du projet//Project title,"A power generation complex near Monrovia, Liberia--Cover page"
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Kakata, Liberia",Schedule 3,64 (top),The approximate coordinates of corner points of the proposed site are provided at page 65 (bottom),"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Kakata, Liberia--Schedule 3"
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
Date d'octroi du permis d'exploitation ou concession,Date of issue of title/permit,,,,,Date d'octroi du permis d'exploitation ou concession//Date of issue of title/permit,
Année d'octroi du permis d'exploitation ou concession,Year of issue of title/permit,,,,,Année d'octroi du permis d'exploitation ou concession//Year of issue of title/permit,
Date de ratification,Date of ratification,,,,,Date de ratification//Date of ratification,
Investissement estimé,Estimated investment,,,,,Investissement estimé//Estimated investment,
Production attendue,Expected production,,,,,Production attendue//Expected production,
II. Résumé des dispositions du contrat,II. Summary of terms,,,,,II. Résumé des dispositions du contrat//II. Summary of terms,
1. Dispositions du base,1. Fundamental provisions,,,,,1. Dispositions du base//1. Fundamental provisions,
Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document,Name of company executing the document and composition of the shareholders,Buchanan Renewables (Monrovia) Power Inc.,Preamble; Signature page,6 (top); 58 (top),,Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document//Name of company executing the document and composition of the shareholders,Buchanan Renewables (Monrovia) Power Inc.--Preamble; Signature page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
"Signataire(s), société ","Signatories, company",,,,,"Signataire(s), société //Signatories, company",
