TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,"Cambodia, Global Agricultural Development (Cambodia) Co.; Ltd, Agreement for Plantation and Processing Factory, Teak, Sambour District, 15 March 2006",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Cambodia,Title,1 (top),,Pays//Country,Cambodia--Title
Nom de la société locale,Local company name,Global Agricultural Development (Cambodia) Co.; Ltd,Preamble,1 (middle),,Nom de la société locale//Local company name,Global Agricultural Development (Cambodia) Co.; Ltd--Preamble
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"No 1533, National road No 2, Chak Angrai Kroum Quarter, Mean Chhay District, Phnom Penh",Preamble,1 (middle),,Siège social //Corporate headquarters ,"No 1533, National road No 2, Chak Angrai Kroum Quarter, Mean Chhay District, Phnom Penh--Preamble"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Concession,Art. 1,1 (bottom),,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Concession--Art. 1
Nom du projet,Project title,,,,,Nom du projet//Project title,
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","District of Sambour, Kratie province",Art. 1,1 (bottom),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","District of Sambour, Kratie province--Art. 1"
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
Date d'octroi du permis d'exploitation ou concession,Date of issue of title/permit,,,,,Date d'octroi du permis d'exploitation ou concession//Date of issue of title/permit,
Année d'octroi du permis d'exploitation ou concession,Year of issue of title/permit,,,,,Année d'octroi du permis d'exploitation ou concession//Year of issue of title/permit,
Date de ratification,Date of ratification,,,,,Date de ratification//Date of ratification,
Investissement estimé,Estimated investment,,,,,Investissement estimé//Estimated investment,
Production attendue,Expected production,,,,,Production attendue//Expected production,
II. Résumé des dispositions du contrat,II. Summary of terms,,,,,II. Résumé des dispositions du contrat//II. Summary of terms,
1. Dispositions du base,1. Fundamental provisions,,,,,1. Dispositions du base//1. Fundamental provisions,
Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document,Name of company executing the document and composition of the shareholders,Global Agricultural Development (Cambodia) Co.; Ltd,Signature page,7 (top),,Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document//Name of company executing the document and composition of the shareholders,Global Agricultural Development (Cambodia) Co.; Ltd--Signature page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
"Signataire(s), société ","Signatories, company",,,,,"Signataire(s), société //Signatories, company",
"Agence de l'Etat, société nationale, ministère signataire du contrat","State agency, national company, ministry executing the document","The Ministry of Agriculture, Forestry and Fisheries",Signature page,7 (top),,"Agence de l'Etat, société nationale, ministère signataire du contrat//State agency, national company, ministry executing the document","The Ministry of Agriculture, Forestry and Fisheries--Signature page"
"Signataire(s), Etat","Signatories, State",,,,,"Signataire(s), Etat//Signatories, State",
Nom et/ou composition de la société du projet crée ou envisagée,Name and/or composition of the company created or anticipated,,,,,Nom et/ou composition de la société du projet crée ou envisagée//Name and/or composition of the company created or anticipated,
Nom de la partie tiers (si applicable),Name of third party to contract (where applicable),,,,,Nom de la partie tiers (si applicable)//Name of third party to contract (where applicable),
Date de signature du contrat,Date of contract signature,15/03/2006,Signature page,7 (top),,Date de signature du contrat//Date of contract signature,38791--Signature page
Année de signature du contrat,Year of contract signature,2006,Signature page,7 (top),,Année de signature du contrat//Year of contract signature,2006--Signature page
Durée,Term,"70 years, expiring on 15 March 2076","Arts. 2.1, 18","2 (middle), 7 (top)",,Durée//Term,"70 years, expiring on 15 March 2076--Arts. 2.1, 18"
Conditions de renouvellement,Conditions for renewal ,"Global Agricultural Development (Cambodia) shall have the right to renew the agreement after expiration of the 70-year period. 1 year prior to the expiration of the agreement, Global Agricultural Development (Cambodia) may ask to renew the investment. This renewal can only be made once an approval has been obtained from the Government at the request of the Ministry of Agriculture, Forestry and Fisheries, based upon the previous performance of Global Agricultural Development (Cambodia) and according to the mutual agreement from the Ministry of Agriculture, Forestry and Fisheries on the terms and conditions of the new contract.",Art. 2.2,2 (bottom),,Conditions de renouvellement//Conditions for renewal ,"Global Agricultural Development (Cambodia) shall have the right to renew the agreement after expiration of the 70-year period. 1 year prior to the expiration of the agreement, Global Agricultural Development (Cambodia) may ask to renew the investment. This renewal can only be made once an approval has been obtained from the Government at the request of the Ministry of Agriculture, Forestry and Fisheries, based upon the previous performance of Global Agricultural Development (Cambodia) and according to the mutual agreement from the Ministry of Agriculture, Forestry and Fisheries on the terms and conditions of the new contract.--Art. 2.2"
