Category,Terms
language,ENG
country,Cambodia
countriy-iso3,KHM
resource,Teak Tree (Tectona Gandis)
Type of Mining Title,Concession
Signature Date,15/03/2006
Signature Year,2006
Contract Term (duration) in Years,"70 years, expiring on 15 March 2076"
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Global Agricultural Development (Cambodia) Co.; Ltd
Legal Enterprise Identifier,
Corporate headquarters ,"No 1533, National road No 2, Chak Angrai Kroum Quarter, Mean Chhay District, Phnom Penh"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"District of Sambour, Kratie province"
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Global Agricultural Development (Cambodia) Co.; Ltd
Legal Enterprise Identifier,
"Signatories, company",
"State agency, national company, ministry executing the document","The Ministry of Agriculture, Forestry and Fisheries"
"Signatories, State",
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,"Global Agricultural Development (Cambodia) shall have the right to renew the agreement after expiration of the 70-year period. 1 year prior to the expiration of the agreement, Global Agricultural Development (Cambodia) may ask to renew the investment. This renewal can only be made once an approval has been obtained from the Government at the request of the Ministry of Agriculture, Forestry and Fisheries, based upon the previous performance of Global Agricultural Development (Cambodia) and according to the mutual agreement from the Ministry of Agriculture, Forestry and Fisheries on the terms and conditions of the new contract."
Size of the concession area,"9,800 ha"
Pages missing from  copy,
Annexes missing from copy,Map of location; Record of the study and evaluation on the requet of the concession land of the Global Agricultural Development (Cambodia) Co.; Ltd dated 13 January 2006
