TEMPLATE OIL/GAS/MINING/LAND -  RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,"Ethiopia, Horizon Plantations PLC, Land Rent Contractual Agreement, Ground Nut, Benshangul Gumuz, 9 January 2012",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Ethiopia,Preamble,1 (top),,Pays//Country,Ethiopia--Preamble
Nom de la société locale,Local company name,Horizon Plantations PLC,Preamble,1 (top),,Nom de la société locale//Local company name,Horizon Plantations PLC--Preamble
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"H.no 1250 Kebele 01, Addis Ketema Sub city, Addis Ababa, Ethiopia",Preamble,1 (top),,Siège social //Corporate headquarters ,"H.no 1250 Kebele 01, Addis Ketema Sub city, Addis Ababa, Ethiopia--Preamble"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Lease,Title,1 (top),,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Lease--Title
Nom du projet,Project title,,,,,Nom du projet//Project title,
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude / Onshore vs Offshore (shallow vs. deep) ","Benshangul Gumuz Regional State, Metekel Zone, Guba District Aychichiniya Abultu kebele ",Art. 1.1,1 (bottom),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude / Onshore vs Offshore (shallow vs. deep) ","Benshangul Gumuz Regional State, Metekel Zone, Guba District Aychichiniya Abultu kebele --Art. 1.1"
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
Date d'octroi du permis d'exploitation ou concession,Date of issue of title/permit,,,,,Date d'octroi du permis d'exploitation ou concession//Date of issue of title/permit,
Année d'octroi du permis d'exploitation ou concession,Year of issue of title/permit,,,,,Année d'octroi du permis d'exploitation ou concession//Year of issue of title/permit,
Date de ratification,Date of ratification,,,,,Date de ratification//Date of ratification,
Investissement estimé,Estimated investment,,,,,Investissement estimé//Estimated investment,
Production attendue,Expected production,,,,,Production attendue//Expected production,
II. Résumé des dispositions du contrat,II. Summary of terms,,,,,II. Résumé des dispositions du contrat//II. Summary of terms,
1. Dispositions du base,1. Fundamental provisions,,,,,1. Dispositions du base//1. Fundamental provisions,
Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document,Name of company executing the document and composition of the shareholders,Horizon Plantations PLC,Signature page,10 (middle),,Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document//Name of company executing the document and composition of the shareholders,Horizon Plantations PLC--Signature page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
"Signataire(s), société ","Signatories, company","Jemal Ahmed, General Manager, Horizon Plantations PLC",Signature page,10 (middle),,"Signataire(s), société //Signatories, company","Jemal Ahmed, General Manager, Horizon Plantations PLC--Signature page"
"Agence de l'Etat, société nationale, ministère signataire du contrat","State agency, national company, ministry executing the document",Ministry of Agriculture of the Federal Democratic Republic of Ethiopia,Signature page,10 (middle),,"Agence de l'Etat, société nationale, ministère signataire du contrat//State agency, national company, ministry executing the document",Ministry of Agriculture of the Federal Democratic Republic of Ethiopia--Signature page
"Signataire(s), Etat","Signatories, State","Tefera Derbew, Minister of Agriculture",Signature page,10 (middle),,"Signataire(s), Etat//Signatories, State","Tefera Derbew, Minister of Agriculture--Signature page"
Nom et/ou composition de la société du projet crée ou envisagée,Name and/or composition of the company created or anticipated,,,,,Nom et/ou composition de la société du projet crée ou envisagée//Name and/or composition of the company created or anticipated,
Nom de la partie tiers (si applicable),Name of third party to contract (where applicable),,,,,Nom de la partie tiers (si applicable)//Name of third party to contract (where applicable),
Date de signature du contrat,Date of contract signature,06/01/2012,,,"Government signature undated, agreement says 9/1/2012 in the preamble, but Horizon signature is dated 6/1/2012",Date de signature du contrat//Date of contract signature,40914
Année de signature du contrat,Year of contract signature,2012,Preamble,1 (bottom),,Année de signature du contrat//Year of contract signature,2012--Preamble
Durée,Term,25 years,"Arts. 2.1, 19",2 (top)10 (top),,Durée//Term,"25 years--Arts. 2.1, 19"
