TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,Memorandum of Understanding,,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details  - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,East Timor,Title,1 (top),,Pays//Country,East Timor--Title
Nom de la société locale,Local company name,KOMOR Enterprise Ltd,Preamble,1 (top),,Nom de la société locale//Local company name,KOMOR Enterprise Ltd--Preamble
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"Lecidere Office Center (Loc) Avenida Direitos Humanos, Dili, Timor-Leste Suite 105",Preamble,1 (top),,Siège social //Corporate headquarters ,"Lecidere Office Center (Loc) Avenida Direitos Humanos, Dili, Timor-Leste Suite 105--Preamble"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",Komor Enterprise is a Korean company,Preamble (B),1 (top),,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",Komor Enterprise is a Korean company--Preamble (B)
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Memorandum of Understanding,Title,1 (top),,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Memorandum of Understanding--Title
Nom du projet,Project title,,,,,Nom du projet//Project title,
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Five areas: Lospalos, Maliana, Baucau, Betano, Same, Viqueque",Art. 2,1 (bottom),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Five areas: Lospalos, Maliana, Baucau, Betano, Same, Viqueque--Art. 2"
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
Date d'octroi du permis d'exploitation ou concession,Date of issue of title/permit,,,,,Date d'octroi du permis d'exploitation ou concession//Date of issue of title/permit,
Année d'octroi du permis d'exploitation ou concession,Year of issue of title/permit,,,,,Année d'octroi du permis d'exploitation ou concession//Year of issue of title/permit,
Date de ratification,Date of ratification,,,,,Date de ratification//Date of ratification,
Investissement estimé,Estimated investment,"USD $3,000,000",Art. 2,1 (bottom),,Investissement estimé//Estimated investment,"USD $3,000,000--Art. 2"
Production attendue,Expected production,,,,,Production attendue//Expected production,
II. Résumé des dispositions du contrat,II. Summary of terms,,,,,II. Résumé des dispositions du contrat//II. Summary of terms,
1. Dispositions du base,1. Fundamental provisions,,,,,1. Dispositions du base//1. Fundamental provisions,
Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document,Name of company executing the document and composition of the shareholders,KOMOR Enterprise Ltd,Preamble,1 (top),,Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document//Name of company executing the document and composition of the shareholders,KOMOR Enterprise Ltd--Preamble
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
"Signataire(s), société ","Signatories, company","Ko Sag Soo, Chairman / CEO, KOMOR Enterprise Limited",Signature page,3 (middle),Electronic (i.e. typed) signature only,"Signataire(s), société //Signatories, company","Ko Sag Soo, Chairman / CEO, KOMOR Enterprise Limited--Signature page"
"Agence de l'Etat, société nationale, ministère signataire du contrat","State agency, national company, ministry executing the document", Secretary of State for Energy Policy,Preamble,1 (top),,"Agence de l'Etat, société nationale, ministère signataire du contrat//State agency, national company, ministry executing the document", Secretary of State for Energy Policy--Preamble
"Signataire(s), Etat","Signatories, State","Avelino Coelho, Secretary of State for Energy Policy",Signature page,3 (middle),Electronic (i.e. typed) signature only,"Signataire(s), Etat//Signatories, State","Avelino Coelho, Secretary of State for Energy Policy--Signature page"
Nom et/ou composition de la société du projet crée ou envisagée,Name and/or composition of the company created or anticipated,,,,,Nom et/ou composition de la société du projet crée ou envisagée//Name and/or composition of the company created or anticipated,
Nom de la partie tiers (si applicable),Name of third party to contract (where applicable),,,,,Nom de la partie tiers (si applicable)//Name of third party to contract (where applicable),
Date de signature du contrat,Date of contract signature,21/8/2008,Signature page,3 (middle),,Date de signature du contrat//Date of contract signature,21/8/2008--Signature page
Année de signature du contrat,Year of contract signature,2008,Signature page,3 (middle),,Année de signature du contrat//Year of contract signature,2008--Signature page
Durée,Term,"2 years, unless extended by mutual agreement between the parties",Art. 10,2 (bottom),,Durée//Term,"2 years, unless extended by mutual agreement between the parties--Art. 10"
Conditions de renouvellement,Conditions for renewal ,,,,,Conditions de renouvellement//Conditions for renewal ,
"Ressource(s) concernées (type de minéral, pétrole, gas, bois) ou les récoltes/denrées","Type of resources (mineral type, crude oil, gas, timber, etc.) OR specific crops planned (ex:  food crops, oil palm, etc.)","Biofuel, Corn, Jatrophas Curcas","Preamble (B), Arts. 2, 6 ","1 (middle), 1 (bottom) 2 (middle)",,"Ressource(s) concernées (type de minéral, pétrole, gas, bois) ou les récoltes/denrées//Type of resources (mineral type, crude oil, gas, timber, etc.) OR specific crops planned (ex:  food crops, oil palm, etc.)","Biofuel, Corn, Jatrophas Curcas--Preamble (B), Arts. 2, 6 "
Superficie de la concession,Size of the concession area,"100,000 ha ",Art. 2,1 (bottom),This amount is the first step,Superficie de la concession//Size of the concession area,"100,000 ha --Art. 2"
"2. Obligations à l'égard des communautés, la protection sociale et l’économie locale/régionale",2. Community and social obligations,,,,,"2. Obligations à l'égard des communautés, la protection sociale et l’économie locale/régionale//2. Community and social obligations",
Convention de développement local,Local development agreement,,,,,Convention de développement local//Local development agreement,
"Protection des lieux sacrés, des ressources et du milieu de vie","Protection of sacred locations, resources and environment",,,,,"Protection des lieux sacrés, des ressources et du milieu de vie//Protection of sacred locations, resources and environment",
Consultations communautaires requises,Requirements for community consultation ,,,,,Consultations communautaires requises//Requirements for community consultation ,
Obligations liées a la formation des cadres locaux,Management training requirement for nationals,,,,,Obligations liées a la formation des cadres locaux//Management training requirement for nationals,
