Category,Terms
language,ENG
country,East Timor
countriy-iso3,TLS
resource,"Biofuel, Corn, Jatrophas Curcas"
Type of Mining Title,Memorandum of Understanding
Signature Date,21/8/2008
Signature Year,2008
Contract Term (duration) in Years,"2 years, unless extended by mutual agreement between the parties"
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,KOMOR Enterprise Ltd
Legal Enterprise Identifier,
Corporate headquarters ,"Lecidere Office Center (Loc) Avenida Direitos Humanos, Dili, Timor-Leste Suite 105"
Company structure,
Parent companies or affilates,Komor Enterprise is a Korean company
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"Five areas: Lospalos, Maliana, Baucau, Betano, Same, Viqueque"
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,"USD $3,000,000"
Expected production,
Name of company executing the document and composition of the shareholders,KOMOR Enterprise Ltd
Legal Enterprise Identifier,
"Signatories, company","Ko Sag Soo, Chairman / CEO, KOMOR Enterprise Limited"
"State agency, national company, ministry executing the document", Secretary of State for Energy Policy
"Signatories, State","Avelino Coelho, Secretary of State for Energy Policy"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,
Size of the concession area,"100,000 ha "
Pages missing from  copy,
Annexes missing from copy,
