Category,Terms
language,FRE
country,"Congo, the Democratic Republic of the"
countriy-iso3,#N/A
resource,Bois d'œuvre
Type of Mining Title,Contrat de concession forestière
Signature Date,04-25-11
Signature Year,2011
Contract Term (duration) in Years,25 ans renouvelables. Le contrat prend fin le 2039.
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Maison NBK Service
Legal Enterprise Identifier,
Corporate headquarters ,"N° 4, Avenue du Port, 2e étage Immeuble NIOKI, Commune de la Gombe, Ville de Kinshasa, en République Démocratique du Congo"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"Secteur: Baboma Nord, territoire: Mushie, district: Plateaux, province: Bandundu.  La délimitation physique se décrit dans l'article 2(II)."
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Maison NBK Service
Legal Enterprise Identifier,
"Signatories, company","Victor Ngalamulume, Gérant-Statutaire"
"State agency, national company, ministry executing the document","Le Ministre de l'Environnement, Conservation de la Nature et Tourisme"
"Signatories, State","Bavon N'Sa Mputu Elima, Ministre de l'Environnement, Conservation de la Nature et Tourisme"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,"A l'expiration du contrat de concession, ou un an avant la date d'expiration, Maison NBK Service peut demander le renouvellement du contrat dans les conditions déterminées par les règlements en vigueur et à condition que les obligations découlant du contrat et du cahier des charges aient été exécutées. En demandant un renouvellement, Maison NBK Service doit fournir les preuves de mise à jour de son plan d'aménagement et du cahier des charges sur la période de renouvellement. Le Gouvernement peut refuser le renouvellement en cas de violation de l'une des quelconques dispositions du présent contrat et du cahier des charges: (1) le non payement de la redevance de superficie et/ou de toutes autres taxes et redevances pertinents; (2) l'exploitation forestière illégale; (3) le commerce illégal des produits forestiers; (4) la violation des obligations sociales et environnementales et de celles relatives aux engagements d'investissements industriels imposées par le présent contrat en vertu des dispositions légales et règlementaires en vigueur; et (5) la corruption, le dol ou la violence ou leur tentative dûment constatés."
Size of the concession area,79.730 hectares
Pages missing from  copy,
Annexes missing from copy,Le cahier des charges; La carte de la concession forestière
