Category,Terms
language,ENG
country,Liberia
countriy-iso3,LBR
resource,Timber (Wood)
Type of Mining Title,Timber Sale Contract
Signature Date,07-21-10
Signature Year,2010
Contract Term (duration) in Years,3 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Sun Yeun Corporation
Legal Enterprise Identifier,
Corporate headquarters ,"Old Road, Congo Town, Monrovia, Liberia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,Contract to Manage Timber Sale Area: A-16
"Name and/or number of field, block or deposit","Region: Sector #1; Forest Area: TSC Area ""A-16"""
location,Timber Sale Contract A-16 lies within Latitudes 7°7'12'' - 7°10'48'' North of the equator and Longitudes 11°3'36'' - 11°12'0'' West of the Greenwich meridian and is located in Grand Cape Mount County-Liberia
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Sun Yeun Corporation
Legal Enterprise Identifier,
"Signatories, company","President/CEO, Sun Yeun Corporation"
"State agency, national company, ministry executing the document",Forestry Development Authority
"Signatories, State","Managing Director, Forestry Development Authority ; In-House Lawyer, Forestry Development Authority"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,The contract is not renewable
Size of the concession area,"5,000 hectares"
Pages missing from  copy,
Annexes missing from copy,
