TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,Timber Sales Contract A-8,,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details  - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Liberia,Cover page,1 (top),,Pays//Country,Liberia--Cover page
Nom de la société locale,Local company name,Thunder Bird International Liberia Inc.,Cover page,1 (bottom),,Nom de la société locale//Local company name,Thunder Bird International Liberia Inc.--Cover page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"Carey & Gurley Streets Intersection, Monrovia, Liberia",Cover page,"1 (bottom), 2 (top)",,Siège social //Corporate headquarters ,"Carey & Gurley Streets Intersection, Monrovia, Liberia--Cover page"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Timber Sales Contract,Cover page,1 (middle),,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Timber Sales Contract--Cover page
Nom du projet,Project title,,,,,Nom du projet//Project title,
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) ","Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Latitudes 7°14'24'' - 7°18'0'' North of the Equator and Longitudes 11°0'0'' - 11°6'36'' West of the Greenwich meridian, Grand Cape Mount County-Liberia",Art. A1,7 (top),,"Emplacement, longitude et latitude / terrestre vs marin (peu profond vs. profond) //Location, longitude and latitude /  Onshore vs Offshore (shallow vs. deep) ","Latitudes 7°14'24'' - 7°18'0'' North of the Equator and Longitudes 11°0'0'' - 11°6'36'' West of the Greenwich meridian, Grand Cape Mount County-Liberia--Art. A1"
Lieu-dit habité le plus proche,Closest community,,,,,Lieu-dit habité le plus proche//Closest community,
Date d'octroi du permis d'exploitation ou concession,Date of issue of title/permit,,,,,Date d'octroi du permis d'exploitation ou concession//Date of issue of title/permit,
Année d'octroi du permis d'exploitation ou concession,Year of issue of title/permit,,,,,Année d'octroi du permis d'exploitation ou concession//Year of issue of title/permit,
Date de ratification,Date of ratification,,,,,Date de ratification//Date of ratification,
Investissement estimé,Estimated investment,,,,,Investissement estimé//Estimated investment,
Production attendue,Expected production,,,,,Production attendue//Expected production,
II. Résumé des dispositions du contrat,II. Summary of terms,,,,,II. Résumé des dispositions du contrat//II. Summary of terms,
1. Dispositions du base,1. Fundamental provisions,,,,,1. Dispositions du base//1. Fundamental provisions,
Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document,Name of company executing the document and composition of the shareholders,Thunder Bird International Liberia Inc.,"Preamble, Signature page","5 (top), 43 (top)",,Nom de la société signataire du contrat et composition des actionnaires mentionnés dans le document//Name of company executing the document and composition of the shareholders,"Thunder Bird International Liberia Inc.--Preamble, Signature page"
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
"Signataire(s), société ","Signatories, company","Chief Andrew Oru, President and CEO of Thunder Bird International",Signature page,43 (top),,"Signataire(s), société //Signatories, company","Chief Andrew Oru, President and CEO of Thunder Bird International--Signature page"
"Agence de l'Etat, société nationale, ministère signataire du contrat","State agency, national company, ministry executing the document",Forestry Development Authority,Signature page,43 (top),,"Agence de l'Etat, société nationale, ministère signataire du contrat//State agency, national company, ministry executing the document",Forestry Development Authority--Signature page
"Signataire(s), Etat","Signatories, State","Managing Director and In-House Lawyer, Forestry Development Authority",Signature page,43 (top),,"Signataire(s), Etat//Signatories, State","Managing Director and In-House Lawyer, Forestry Development Authority--Signature page"
Nom et/ou composition de la société du projet crée ou envisagée,Name and/or composition of the company created or anticipated,,,,,Nom et/ou composition de la société du projet crée ou envisagée//Name and/or composition of the company created or anticipated,
Nom de la partie tiers (si applicable),Name of third party to contract (where applicable),,,,,Nom de la partie tiers (si applicable)//Name of third party to contract (where applicable),
Date de signature du contrat,Date of contract signature,10/01/2010,Cover page 2,2 (middle),,Date de signature du contrat//Date of contract signature,40188--Cover page 2
Année de signature du contrat,Year of contract signature,2010,Cover page 2,2 (middle),,Année de signature du contrat//Year of contract signature,2010--Cover page 2
Durée,Term,2 years,"Cover page 2, art 8.11 (c) ",2 (middle),,Durée//Term,"2 years--Cover page 2, art 8.11 (c) "
Conditions de renouvellement,Conditions for renewal ,"The contract is not renewable, with only limited extensions possible under Art. B8.5 (force majeure)",Art. B2.2,14 (top),,Conditions de renouvellement//Conditions for renewal ,"The contract is not renewable, with only limited extensions possible under Art. B8.5 (force majeure)--Art. B2.2"
"Ressource(s) concernées (type de minéral, pétrole, gas, bois) ou les récoltes/denrées","Type of resources (mineral type, crude oil, gas, timber, etc.) OR specific crops planned (ex:  food crops, oil palm, etc.)",Timber (Wood),"Preamble, Art. B2.1","5 (top), 13 (top)",,"Ressource(s) concernées (type de minéral, pétrole, gas, bois) ou les récoltes/denrées//Type of resources (mineral type, crude oil, gas, timber, etc.) OR specific crops planned (ex:  food crops, oil palm, etc.)",#REF!
Superficie de la concession,Size of the concession area,"5,000 hectares",Art. A1,7 (top),,Superficie de la concession//Size of the concession area,"5,000 hectares--Art. A1"
