Category,Terms
language,ENG
country,Liberia
countriy-iso3,LBR
resource,Timber
Type of Mining Title,#N/A
Signature Date,27/06/2008
Signature Year,2008
Contract Term (duration) in Years,3 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,B & V Timber Company
Legal Enterprise Identifier,
Corporate headquarters ,"Vincent Compound, Brewerville, Montserrado County, Liberia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,Area A-6
"Name and/or number of field, block or deposit",
location,Gbarpolu and Bong Counties. The contract area lies within Latitudes 7°6'0'' - 7°9'36'' North of the equator and Longitudes 10°12'36'' - 10°18'36'' West of the Greenwich meridian
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,B & V Timber Company
Legal Enterprise Identifier,
"Signatories, company","Emmanuel Q. Vincent, B & V Timber Company"
"State agency, national company, ministry executing the document",Forestry Development Authority 
"Signatories, State","John T. Woods, Forestry Development Authority, Tom Downing, GEMAP Comptroller/Forestry Development Authority"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,The contract is not renewable
Size of the concession area,"5,000 hectares"
Pages missing from  copy,
Annexes missing from copy,
