Category,Terms
language,ENG
country,Ethiopia
countriy-iso3,ETH
resource,Ground nut farming 
Type of Mining Title,Lease
Signature Date,06/01/2012
Signature Year,2012
Contract Term (duration) in Years,25 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Horizon Plantations PLC
Legal Enterprise Identifier,
Corporate headquarters ,"H.no 1250 Kebele 01, Addis Ketema Sub city, Addis Ababa, Ethiopia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"Benshangul Gumuz Regional State, Metekel Zone, Guba District Aychichiniya Abultu kebele "
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Horizon Plantations PLC
Legal Enterprise Identifier,
"Signatories, company","Jemal Ahmed, General Manager, Horizon Plantations PLC"
"State agency, national company, ministry executing the document",Ministry of Agriculture of the Federal Democratic Republic of Ethiopia
"Signatories, State","Tefera Derbew, Minister of Agriculture"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,"The agreement can be renewed for another additional years mutually agreed between the parties. The agreement shall be renewed on the same terms and conditions. If any of the parties wish to renew the agreement, it shall inform the other party at least 6 months before the expiration of the contract period. "
Size of the concession area,"20,000 hectares. Horizon Plantations has the right to get additional land based on its performance, accomplishment and need"
Pages missing from  copy,The site plan of the leased land and the environmental code of practice
Annexes missing from copy,
