TEMPLATE OIL/GAS/MINING/LAND -  RESOURCECONTRACTS.ORG and OPENLANDCONTRACTS.ORG,,,,,,,
,,May-15,,,,,
,"Liberia, Tarpeh Timber Coproporation, Contract to Manage Timber Sale Area, Timber, Grand Bassa County, 27 June 2008",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,
Français,English,Details - value,"Article/
Reference ","Page (permalink) page = page top, middle, bottom",Notes,Details with Reference,Details-Reference (AUTOMATIC)
I. Information générale sur le projet ,General information,,,,,I. Information générale sur le projet //General information,
Pays,Country,Liberia,Cover page,1 (top),,Pays//Country,Liberia--Cover page
Nom de la société locale,Local company name,Tarpeh Timber Corporation,Cover page,1 (bottom),,Nom de la société locale//Local company name,Tarpeh Timber Corporation--Cover page
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Siège social ,Corporate headquarters ,"Puku Villa, Robertsfield Highway, Adjacent Camp Falconer, Baptist Youth Camp, Paynesville, Liberia","Cover page, cover page 2","1 (bottom), 2 (top)",,Siège social //Corporate headquarters ,"Puku Villa, Robertsfield Highway, Adjacent Camp Falconer, Baptist Youth Camp, Paynesville, Liberia--Cover page, cover page 2"
Structure du Capital,Company structure,,,,,Structure du Capital//Company structure,
"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales ","Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",,,,,"Société(s) mère(s) ou affiliée(s) hors du pays, si diffèrent de celle(s) notée(s) ci-dessus; et leurs sièges sociales //Parent companies or affilates outside of the country, if different from the above mentioned; and their corporate headquarters",
Numéro d'entreprise légal,Legal Enterprise Identifier,,,,,Numéro d'entreprise légal//Legal Enterprise Identifier,
Site web de l’entreprise,Company website,,,,,Site web de l’entreprise//Company website,
"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)","Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)",Contract to manage timber sale area,"Cover page, Art. B2.1","1 (middle), 12 (top)",,"Type du titre associé au contrat (concession, bail, contrat de partage, contrat de service…)//Type of document / right (Concession, Lease, Production Sharing Agreement, Service Agreement, etc.)","Contract to manage timber sale area--Cover page, Art. B2.1"
Nom du projet,Project title,,,,,Nom du projet//Project title,
Nom du gisement/ champ de pétrole/ gas,"Name and/or number of field, block or deposit",,,,,"Nom du gisement/ champ de pétrole/ gas//Name and/or number of field, block or deposit",
