Category,Terms
language,ENG
country,Liberia
countriy-iso3,LBR
resource,Timber
Type of Mining Title,Contract to manage timber sale area
Signature Date,27/06/2008
Signature Year,2008
Contract Term (duration) in Years,3 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Tarpeh Timber Corporation
Legal Enterprise Identifier,
Corporate headquarters ,"Puku Villa, Robertsfield Highway, Adjacent Camp Falconer, Baptist Youth Camp, Paynesville, Liberia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"The contract area lies within the latitudes 6°15'36 - 6°20'24"" North of the equator and longitudes 10°3'36"" - 10°9'36"" West of the Greenwich meridian. It is located in Grand Bassa County."
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Tarpeh Timber Corporation
Legal Enterprise Identifier,
"Signatories, company","David Tarpeh, President/CEO, Tarpeh Timber Corporation"
"State agency, national company, ministry executing the document","Forestry Development Authority, Liberia"
"Signatories, State","John T. Woods, Managing Director, Forestry Development Authority; Tom Downing, Gemap Comptroller/FDA"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,The contract is not renewable
Size of the concession area,"5,000 ha"
Pages missing from  copy,
Annexes missing from copy,
