Category,Terms
language,ENG
country,Liberia
countriy-iso3,LBR
resource,Timber
Type of Mining Title,Timber Sales Contract
Signature Date,01-10-10
Signature Year,2010
Contract Term (duration) in Years,2 years
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Thunder Bird International Liberia Inc.
Legal Enterprise Identifier,
Corporate headquarters ,"Carey & Gurley Streets Intersection, Monrovia, Liberia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"Latitudes 7°14'24'' - 7°18'0'' North of the Equator and Longitudes 11°0'0'' - 11°6'36'' West of the Greenwich meridian, Grand Cape Mount County-Liberia"
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Thunder Bird International Liberia Inc.
Legal Enterprise Identifier,
"Signatories, company","Chief Andrew Oru, President and CEO of Thunder Bird International"
"State agency, national company, ministry executing the document",Forestry Development Authority
"Signatories, State","Managing Director and In-House Lawyer, Forestry Development Authority"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,"The contract is not renewable, with only limited extensions possible under Art. B8.5 (force majeure)"
Size of the concession area,"5,000 ha"
Pages missing from  copy,
Annexes missing from copy,
