Category,Terms
language,ENG
country,Ethiopia
countriy-iso3,ETH
resource,Cotton principal investment and sesame and soy bean rotational crops
Type of Mining Title,Lease
Signature Date,40816
Signature Year,2011
Contract Term (duration) in Years,25 years. The contract shall expire on 29 September 2036
PROPOSED ADDITIONAL FIELDS (AUTOPOPULATED),
Local company name,Nega Mamay Mihret (a natural person) is to have a company or business organization incorporated to engage in cotton principal investment and sesame and soy bean rotational crops development for the purposes of this agreement
Legal Enterprise Identifier,
Corporate headquarters ,"3453 Kebele 03, Sebeta Town, Oromia Reginal State, Ethiopia"
Company structure,
Parent companies or affilates,
Legal Enterprise Identifier,
Company website,
Project title,
"Name and/or number of field, block or deposit",
location,"Benishangul Gumuz Regional State, Metekel Zone, Dangur District Abay dar kebele "
Closest community,
Date of issue of title/permit,
Year of issue of title/permit,
Date of ratification,
Year of ratifciation,
Estimated investment,
Expected production,
Name of company executing the document and composition of the shareholders,Nega Mamay Mihret (a natural person) is to have a company or business organization incorporated to engage in cotton principal investment and sesame and soy bean rotational crops development for the purposes of this agreement
Legal Enterprise Identifier,
"Signatories, company",Nega Mamay Mihret
"State agency, national company, ministry executing the document",Ministry of Agriculture of Federal Democratic Republic of Ethiopia (FDRE)
"Signatories, State","Tefera Derbew, Ministry of Agriculture"
Name and/or composition of the company created or anticipated,
Name of third party to contract (where applicable),
Conditions for renewal ,"The land lease agreement can be renewed for another additional years mutually agreed between the parties. The land lease agreement shall be renewed on the same terms and conditions. If any of the parties wish to renew the agreement, it shall inform the other party at least 6 months before the expiration of the contract period. "
Size of the concession area,"3,000 hectares. The company or business organization, once incorporated, has the right to get additional land based on its performance, accomplishment and need."
Pages missing from  copy,The site plan of the leased land and the environmental code of practice
Annexes missing from copy,#REF!
