contract_title,file_name,pdf_url,m_country,n_country,m_resource,n_resource,m_type_of_contract,a_type_of_contract,n_type_of_contract,m_signature_year,a_signature_year,m_signature_date,a_signature_date,n_signature_date,a_government_entities,n_government_entities,a_company,n_company,m_project_title,n_project_title,a_license_concession_name,m_license_concession_name,n_license_concession_name
ADA Commercial Inc._Liberia,ADA Commercial Inc._Liberia.xlsx,https://www.dropbox.com/s/nptm6vrxs4mpesv/ADA%20Commercial%20Ltd%20Ag%20Rice%20Con%202008.pdf,Liberia,Liberia,Rice and rice products,"Rice, Rice products",Concession Agreement,Concession Agreement,Concession Agreement,2008,2008,5/4/2008,5/4/2008,5/4/2008,"Ministry of Agriculture, Ministry of Finance, and the National Investment Commission of Liberia","Ministry of Agriculture, Ministry of Finance, the National Investment Commission of Liberia","ADA Commercial Inc. --ADA Commercial Inc.--Mr. Wendell J.E. Mcintosh, President and Chief Executive Officer",ADA Commercial Inc.,,,,,
Agropeace_Ethiopia,Agropeace_Ethiopia.xlsx,https://www.dropbox.com/s/cbq5342iih9q6vo/agropeace%20%28Israel%20invest%20-%20castor%20etc%202012%29.pdf,Ethiopia,Ethiopia,Castor oil and cotton as a principal crop with rotational crops of soya bean and groundnut,"Castor oil (Ricinus communis), Cotton, Soybeans (Soya beans), Groundnuts",Land lease agreement,Land lease agreement,Land lease agreement,2012,2012,24/08/2012,24/08/2012,24/08/2012,Ministry of Agriculture,Ministry of Agriculture,Agropeace Bio Ethiopia Plc ('Agropeace')--Agropeace Bio Ethiopia Plc,Agropeace Bio Ethiopia Plc ('Agropeace'),,,,,
Al-Mehdi_Ethiopia,Al-Mehdi_Ethiopia.xlsx,https://www.dropbox.com/s/kdgwt6637o7em6l/Al-mehadi%20%282012%29.pdf,Ethiopia,Ethiopia,Timber,Timber (wood),Land lease agreement,Land lease agreement,Land lease agreement,2012,2012,30/7/2012,30/7/2012,30/7/2012,Ministry of Agriculture,Ministry of Agriculture,Al-Mehdi Match Makers Plc--Al-Mehdi Match Makers Plc,Al-Mehdi Match Makers Plc,,,,,
BHO_Ethiopia,BHO_Ethiopia.xlsx,https://www.dropbox.com/s/i7xeidh0tv9hzsd/BHO%20%28Indian%20invest%20-%20cereal%20crops%20etc%202010%29%20.pdf,Ethiopia,Ethiopia,"Cereal crops, pulses and edible oil crops","Cereal crops, Grain legumes (Pulses), Oil crops",Land lease agreement,Land lease agreement,Land lease agreement,2010,2010,11/5/2010,11/5/2010,11/5/2010,Ministry of Agriculture and Rural Development of the Federal Democratic Republic of Ethiopia ('the Ministry'),Ministry of Agriculture and Rural Development,BHO Bio Products PLC ('BHO')--BHO Bio Products PLC,BHO Bio Products PLC ('BHO'),,,"Wanke kebele, Itang Special Disrict, Gambela Regional State, Ethiopia",,
CLC Industries_Ethiopia,CLC Industries_Ethiopia.xlsx,https://www.dropbox.com/s/d57m9c9hw3l1a2t/CLC%20%28Spentex%29%20%28Indian%20invest%20-%20Cotton%202009%29.pdf,Ethiopia,Ethiopia,"Cotton and subsidiary crops of cereals (maize, sorghum), oil crops (sesame, niger, safflower) and pulses","Cotton, Cereal crops, Oil crops, Grain legumes (Pulses)",Land lease agreement,Land lease agreement,Land lease agreement,2009,2009,26/12/2009,26/12/2009,26/12/2009,Ministry of Agriculture and Rural Development,Ministry of Agriculture and Rural Development,"CLC Industries PLC--CLC Industries PLC--Ripin Shome, General Manager",CLC Industries PLC,,,,,
Getafan Mechanized Farming PLC_Ethiopia,Getafan Mechanized Farming PLC_Ethiopia.xlsm,https://www.dropbox.com/s/nelxsmhpx3hitbo/Getafan%20Mechanized%20Farming%20Agreement.pdf,Ethiopia,Ethiopia,Cotton as principal investment crop; oils seeds and pulses as rotational/substitute crops,"Cotton, Oilseeds, Grain legumes (Pulses)",Lease,Lease,Lease,2011,2011,40735,11/7/2011,11/7/2011,Ministry of Agriculture of FDRE (Federal Democratic Republic of Ethiopia),Ministry of Agriculture and Rural Development,"Getafan Mechanized Farming P.L.C.--Getafan Mechanized Farming P.L.C.--Fantahun Alemu, Assistance Manager, Getafan Mechanized Farming P.L.C.",Getafan Mechanized Farming P.L.C,,,,,
Global Agricultural Development (Cambodia) Co Ltd_Cambodia,Global Agricultural Development (Cambodia) Co Ltd_Cambodia.xlsm,https://www.dropbox.com/s/aizric6f0abiiac/Global_Agricultural_Development_Cambodia_Co.Ltd_Cambodia%20%28English%20version%29.pdf,Cambodia,Cambodia,Teak Tree (Tectona Grandis),Teak (Tectona grandis),Concession,Concession,Concession,2006,2006,15/03/2006,15/03/2006,15/03/2006,"The Ministry of Agriculture, Forestry and Fisheries","The Ministry of Agriculture, Forestry and Fisheries",Global Agricultural Development (Cambodia) Co.; Ltd--Global Agricultural Development (Cambodia) Co.; Ltd,Global Agricultural Development (Cambodia) Co,,,,,
Goldtree SL Limited and Goldtree Holdings_Sierra Leone,Goldtree SL Limited and Goldtree Holdings_Sierra Leone.xlsx,https://www.dropbox.com/s/tbjr8x9ahchupys/Goldtree%20Contract.pdf,Sierra Leone,Sierra Leone,Palm oil,"Oil palm, Palm oils ",Memorandum of Understanding and Agreement,Memorandum of Understanding and Agreement,Memorandum of Understanding and Agreement,,,,,,"The Government of the Republic of Sierra Leone acting by the Ministry of Agriculture, Forestry and Food Security and the Ministry of Finance and Economic Development and the Ministry of Trade and Industry",,Goldtree (S.L.) Limited--Goldtree (S.L.) Limited,Goldtree (S.L.) Limited,,,,,
Green Valley_Ethiopia,Green Valley_Ethiopia.xlsx,https://www.dropbox.com/s/cw948r1snqw4zu2/Green%20valley%20agro%20%28cotton%202012%29.pdf,Ethiopia,Ethiopia,Cotton,Cotton,Land Lease Agreement,Land Lease Agreement,Land Lease Agreement,2012,2012,27/02/2012,27/02/2012,27/02/2012,"Ministry of Agriculture of Ethiopia (""Ministry of Agriculture"")",Ministry of Agriculture,Green Valley Agro PLC--Green Valley Agro PLC--Green Valley Agro PLC,Green Valley Agro PLC,,,,,
Heng Yue_Cambodia,Heng Yue_Cambodia.xlsx,https://www.dropbox.com/s/p080hysuhx6s06k/Heng%20Yue%20Contract.pdf?dl=0,Cambodia,Cambodia,Acacia and sugar cane,"Acacia, Sugarcane",Concession,Concession,Concession,2011,2011,11/8/2011,11/8/2011,11/8/2011,"Ministry of Agriculture, Forestry and Fisheries","Ministry of Agriculture, Forestry and Fisheries",Heng Yue (Cambodia) International Company Limited --Heng Yue--Xie Kanxing,Heng Yue (Cambodia) International Company Limited,,,"8,959 hectares at State Private Land at Chhaeb district, Preah Province",,
Horizon Plantations PLC_Ethiopia,Horizon Plantations PLC_Ethiopia.xlsm,https://www.dropbox.com/s/93hclbqsq3duyyp/Horizon%20Plantations%20PLC_Ethiopia.pdf,Ethiopia,Ethiopia,Ground nut farming,Groundnuts ,Lease,Lease,Lease,2012,2012,6/1/2012,6/1/2012,6/1/2012,Ministry of Agriculture of the Federal Democratic Republic of Ethiopia,Ministry of Agriculture,"Horizon Plantations PLC--Horizon Plantations PLC--Jemal Ahmed, General Manager, Horizon Plantations PLC",Horizon Plantations PLC,,,,,
Hunan_Ethiopia,Hunan_Ethiopia.xlsx,https://www.dropbox.com/s/ir1je94lsqgzz0f/Hunan%20%28Chinese%20invest%20-%20sugar%20cane%202010%29.pdf,Ethiopia,Ethiopia,Sugar cane farming and related activities,Sugarcane,Land lease agreement,Land lease agreement,Land lease agreement,2010,2010,12/7/2010,12/7/2010,12/7/2010,Ministry of Agriculture,Ministry of Agriculture,"Hunan Dafengyuan Agriculture Co.,Ltd--Hunan Dafengyuan Agriculture Co.,Ltd",Hunan Dafengyuan Agriculture Co,,,,,
JVL OVERSEAS_Ethiopia,JVL OVERSEAS_Ethiopia.xlsx,https://www.dropbox.com/s/lng42bls66p2v04/JVL%20%28cotton%202012%29.pdf,Ethiopia,Ethiopia,Cotton,Cotton,Land Lease Agreement,Land Lease Agreement,Land Lease Agreement,2012,2012,25/06/2012,25/06/2012,25/06/2012,Ministry of Agriculture,Ministry of Agriculture,"JVL OVERSEAS PTE LTD (ETHIOPIAN BRANCH)--JVL OVERSEAS PTE. LTD--Gaurav Khetan, JVL OVERSEAS PTE. LTD",JVL OVERSEAS PTE LTD (ETHIOPIAN BRANCH),,,,,
KOMOR Enterprise Ltd_Timor-Leste,KOMOR Enterprise Ltd_Timor-Leste.xlsm,https://www.dropbox.com/s/ch8oe49xfjloygl/KOMOR%20Enterprise%20Ltd_East%20Timor_MOU.pdf,East Timor,East Timor,"Biofuel, Corn, Jatrophas Curcas","Biofuels, Maize (Corn), Jatropha curcas",Memorandum of Understanding,Memorandum of Understanding,Memorandum of Understanding,2008,2008,21/8/2008,21/8/2008,21/8/2008,Secretary of State for Energy Policy,Secretary of State for Energy Policy,"KOMOR Enterprise Ltd--KOMOR Enterprise Ltd--Ko Sag Soo, Chairman / CEO, KOMOR Enterprise Limited",KOMOR Enterprise Ltd,,,,,
Karuturi Agro Products_Ethiopia,Karuturi Agro Products_Ethiopia.xlsx,https://www.dropbox.com/s/s2bjiv929wllp9a/Karuturi%20%28Indian%20invest%20-%20palm%20etc%202010%29.pdf,Ethiopia,Ethiopia,"Palm, cereals and pulses","Oil palm, Cereal crops, Grain legumes (Pulses)",Land Lease Agreement,Land Lease Agreement,Land Lease Agreement,2010,2010,5/11/2010,5/11/2010,5/11/2010,Ministry of Agriculture and Rural Development,Ministry of Agriculture and Rural Development,"Karuturi Agro Products PLC--Karuturi Agro Products PLC--Tumu Anil, Karturi Agro Products Plc",Karuturi Agro Products PLC,,,,,
Koh Kong Sugar Industry Company Limited_Cambodia,Koh Kong Sugar Industry Company Limited_Cambodia.xlsm,https://www.dropbox.com/s/77vj3t0mvb8u7bo/Koh_Kong_Sugar_Company_Limited__02.08.2006%20%28English%20version%29.pdf,Cambodia,Cambodia,Sugar cane,Sugarcane,Concession,Concession,Concession,2006,2006,2/8/2006,2/8/2006,2/8/2006,"The Minister of Agriculture, Forestry and Fisheries",Ministry of Agriculture Forestry and Fisheries,"Koh Kong Sugar Industry Company Limited --Koh Kong Sugar Industry Company Limited --Chamroon Chinthammit, Koh Kong Sugar Industry Company Limited",Koh Kong Sugar Industry Company Limited,,,,,
